,summary,description,location,photo,recomendado,price,size,rooms,price/m2,bathrooms,Num Photos,type,region
0,Casa en calle Urb. Las Mimosas,,Ames (San Tome),https://fotos4.imghs.net/nrd/1069/104/1069_I000163-C000104_1_2020051508211031250.jpg,Recomendado,250.000 €,315 m²,4,793 €/m²,3,31,pisos,a_coruna
6,Piso en Milladoiro,,Ames (San Tome),https://fotos4.imghs.net/nrd/1069/113/1069_I000163-P000113_1_2020051508211031250.jpg,Recomendado,90.000 €,72 m²,2,1.250 €/m²,1,11,pisos,a_coruna
9,Casa en calle La Piedra,,A Ortigueira (Cariño),https://fotos1.imghs.net/nrd//999170/89207061010.999170/999170_89207061010_1_20181116113010770.jpg,Recomendado,50.000 €,92 m²,2,543 €/m²,1,40,pisos,a_coruna
3,Casa en Perillo,,Perillo (Oleiros),https://fotos3.imghs.net/nrd/1089/198/1089_XA27-02198_37_2020091105210631250.jpg,Recomendado,359.000 €,244 m²,4,1.471 €/m²,3,39,pisos,a_coruna
4,Chalet en Urbanización Las Mimosas,,O Milladoiro (Ames),https://fotos5.imghs.net/nrd/1097/754/1097_0_foto_20170829150148980_945856909272754.jpg,Recomendado,200.430 €,315 m²,4,636 €/m²,3,24,pisos,a_corocina
